time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.007660;0.999988;0.994816;0.683649;-1.145998;-1.093102;
0.007680;0.999988;0.996465;0.682789;-1.151452;-1.099306;
0.007700;0.999987;0.997989;0.681796;-1.156899;-1.105435;
0.007720;0.999987;0.999385;0.680677;-1.162335;-1.111487;
0.007740;0.999987;1.000652;0.679437;-1.167759;-1.117456;
0.007760;0.999987;1.001790;0.678083;-1.173167;-1.123339;
0.007780;0.999987;1.002798;0.676622;-1.178557;-1.129133;
0.007800;0.999987;1.003675;0.675060;-1.183924;-1.134836;
0.007820;0.999987;1.004421;0.673405;-1.189264;-1.140444;
0.007840;0.999987;1.005036;0.671663;-1.194574;-1.145956;
0.007860;0.999987;1.005521;0.669842;-1.199848;-1.151370;
0.007880;0.999987;1.005875;0.667949;-1.205081;-1.156685;
0.007900;0.999987;1.006099;0.665992;-1.210267;-1.161900;
0.007920;0.999987;1.006195;0.663977;-1.215403;-1.167015;
0.007940;0.999987;1.006164;0.661912;-1.220480;-1.172029;
0.007960;0.999987;1.006006;0.659804;-1.225495;-1.176942;
0.007980;0.999987;1.005724;0.657661;-1.230440;-1.181756;
0.008000;0.999987;1.005320;0.655489;-1.235309;-1.186470;
0.008020;0.999987;1.004796;0.653295;-1.240096;-1.191086;
0.008040;0.999986;1.004155;0.651086;-1.244795;-1.195604;
0.008060;0.999986;1.003399;0.648869;-1.249400;-1.200026;
0.008080;0.999986;1.002531;0.646650;-1.253904;-1.204353;
0.008100;0.999986;1.001556;0.644435;-1.258302;-1.208587;
0.008120;0.999986;1.000476;0.642231;-1.262587;-1.212729;
0.008140;0.999986;0.999296;0.640042;-1.266755;-1.216780;
0.008160;0.999986;0.998020;0.637874;-1.270799;-1.220743;
0.008180;0.999986;0.996652;0.635733;-1.274715;-1.224618;
0.008200;0.999986;0.995198;0.633623;-1.278498;-1.228407;
0.008220;0.999986;0.993663;0.631548;-1.282144;-1.232112;
0.008240;0.999986;0.992051;0.629515;-1.285649;-1.235733;
0.008260;0.999986;0.990369;0.627525;-1.289010;-1.239271;
0.008280;0.999986;0.988623;0.625583;-1.292222;-1.242728;
0.008300;0.999986;0.986819;0.623693;-1.295285;-1.246103;
0.008320;0.999986;0.984962;0.621857;-1.298195;-1.249398;
